section,key,value
prev_usd_cost_rate,,22.9
prev_krw_cost_rate,,22.9
usd_summary,,26SS_NON 시즌 USD 기준 원가율은 22.9%에서 23.7%로 +0.8%p 악화되었습니다. 주요 원인은 공임 원가율 +1.6%p 변동입니다.
krw_summary,,당년 USD 원가율 23.7%에서 환율 변동 효과로 당년 KRW 원가율은 24.2%로 나타났습니다.
action_1,,공임 효율화: 공임 원가율 상승(+1.6%p)으로 봉제 자동화 및 작업공정 단순화 추진.
action_2,,원가 모니터링: USD/KRW 원가율을 분리 관리하여 환율 영향 실시간 추적.
risk_1,,마진 리스크: 협력사 정상마진 확대(+1.00%p)로 납품단가 상승 압박 지속.
success_1,,원가 압박 심화: USD 기준 원가율 +0.8%p 악화로 실질 원가 상승 압력 지속. 소재비·공임비 절감 전략 수립 필요.
success_2,,공임비 관리: 공임 원가율 +1.6%p 상승으로 생산 효율성 개선 필요. 공정 단순화 및 생산지 다변화 검토.
action summary,,"주요 액션: 공임 효율화, 원가 모니터링"
risk summary,,주요 리스크: 마진 리스크
success summary,,"성공 포인트: 원가 압박 심화, 공임비 관리"
message,,"26SS_NON 시즌은 USD 기준 +0.8%p 악화, KRW 기준 +1.3%p 악화되었습니다. 환율 안정이 KRW 원가율에 미치는 영향이 제한적이었습니다. 단기적으로는 세부 항목별 원가 모니터링, 중기적으로는 소싱 다변화와 공임 효율화를 통한 구조적 원가 방어가 필요합니다."
metrics_title,,주요 지표 요약
metrics_volume,,생산 수량은 전시즌 대비 -89.2% 감소했습니다.
metrics_tag,,평균 TAG는 전시즌 대비 +29.4% 상승했습니다.
metrics_fx,,환율은 1350원에서 1380원으로 +2.2% 상승했습니다.
metrics_conclusion,,"전체적으로 수량 -89.2% 변동, TAG +29.4% 변동, 원가 +34.1% 변동으로 안정세를 보였습니다."
executive_summary,,"26SS_NON 시즌 원가 분석 결과, USD 기준 원가율은 22.9%에서 23.7%로 +0.8%p 악화되었습니다. KRW 기준으로는 +1.3%p 악화되었으며, 환율 변동이 영향을 미쳤습니다. 세부 항목별 원가율 모니터링과 구조적 원가 절감 노력이 필요합니다."
